City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sretensk,52.2453,117.7093,258.91,92,11,0.95,RU,1667403951
1,sembakung,3.8167,117.25,296.82,98,100,0.84,ID,1667403951
2,ushuaia,-54.8,-68.3,283.94,66,20,2.57,AR,1667403843
3,flin flon,54.7682,-101.865,269.06,86,100,5.14,CA,1667403952
4,nishihara,26.1842,127.7558,295.75,94,75,3.09,JP,1667403952
5,bambous virieux,-20.3428,57.7575,297.16,78,40,4.63,MU,1667403953
6,hermanus,-34.4187,19.2345,297.48,51,3,7.47,ZA,1667403953
7,punta arenas,-53.15,-70.9167,288.21,58,40,12.86,CL,1667403953
8,half moon bay,37.4636,-122.4286,285.02,89,75,1.54,US,1667403954
9,jalu,29.0331,21.5482,295.17,38,7,3.84,LY,1667403954
10,vanavara,60.34,102.2797,270.27,95,100,4.87,RU,1667403954
11,torbay,47.6666,-52.7314,285.24,89,100,12.35,CA,1667403956
12,jamestown,42.097,-79.2353,288.44,98,100,2.68,US,1667403929
13,bilibino,68.0546,166.4372,240.92,100,60,1.56,RU,1667403956
14,necochea,-38.5473,-58.7368,293.21,42,0,6.15,AR,1667403958
15,nikolskoye,59.7035,30.7861,279.09,94,100,0.97,RU,1667403958
16,sao jose da coroa grande,-8.8978,-35.1478,301.93,60,96,5.14,BR,1667403959
17,bundaberg,-24.85,152.35,287.71,66,0,1.34,AU,1667403959
18,new norfolk,-42.7826,147.0587,279.77,67,89,1.34,AU,1667403959
19,constitucion,-35.3333,-72.4167,291.63,56,0,3.46,CL,1667403960
20,ipu,-4.3222,-40.7108,309.6,26,99,3.6,BR,1667403960
21,sao filipe,14.8961,-24.4956,301.35,59,10,2.58,CV,1667403961
22,thompson,55.7435,-97.8558,267.24,93,100,6.17,CA,1667403961
23,naryan-mar,67.6713,53.087,266.06,91,55,1.75,RU,1667403962
24,pisco,-13.7,-76.2167,292.6,77,100,4.12,PE,1667403962
25,hobart,-42.8794,147.3294,279.96,73,54,3.6,AU,1667403963
26,geraldton,-28.7667,114.6,288.38,88,0,2.06,AU,1667403963
27,butaritari,3.0707,172.7902,299.9,71,85,5.42,KI,1667403964
28,rikitea,-23.1203,-134.9692,293.69,69,100,8.43,PF,1667403965
29,nouadhibou,20.931,-17.0347,298.42,53,1,4.78,MR,1667403965
30,baoying,33.2292,119.3092,285.41,77,1,2.36,CN,1667403966
31,chuy,-33.6971,-53.4616,292.16,36,0,1.41,UY,1667403966
32,pontianak,-0.0333,109.3333,297.14,94,20,1.03,ID,1667403967
33,ostrovnoy,68.0531,39.5131,273.41,92,32,6.37,RU,1667403967
34,spencer,43.1414,-95.1444,291.75,55,0,9.26,US,1667403968
35,nanortalik,60.1432,-45.2371,272.35,72,4,4.38,GL,1667403968
36,hilo,19.7297,-155.09,294.6,82,0,3.09,US,1667403894
37,hamilton,39.1834,-84.5333,288.64,92,100,3.09,US,1667403847
38,katherine,-14.4667,132.2667,302.33,58,91,3.6,AU,1667403970
39,wilmington,34.2257,-77.9447,297.59,67,0,2.57,US,1667403733
40,amloh,30.6084,76.2319,296.21,41,4,2.45,IN,1667403970
41,baruun-urt,46.6806,113.2792,264.13,74,3,2.28,MN,1667403971
42,faranah,10.0404,-10.7434,303.65,49,5,2.01,GN,1667403971
43,sao paulo de olivenca,-3.3783,-68.8725,291.51,87,100,2.29,BR,1667403972
44,mar del plata,-38.0023,-57.5575,299.72,39,0,5.81,AR,1667403972
45,tuatapere,-46.1333,167.6833,282.15,95,100,2.45,NZ,1667403974
46,cape town,-33.9258,18.4232,299.33,67,0,5.81,ZA,1667403968
47,young,-32.6833,-57.6333,297.51,22,0,1.0,UY,1667403974
48,kindersley,51.4668,-109.1682,270.16,93,100,6.17,CA,1667403975
49,adrar,20.5022,-10.0711,305.14,7,0,4.43,MR,1667403975
50,airai,-8.9266,125.4092,290.36,91,78,0.4,TL,1667403976
51,sulangan,11.1373,123.7228,301.24,75,93,0.54,PH,1667403976
52,hihya,30.6713,31.588,294.9,48,11,4.55,EG,1667403977
53,flinders,-34.5833,150.8552,285.51,67,0,6.16,AU,1667403977
54,saint-philippe,-21.3585,55.7679,296.92,82,52,5.47,RE,1667403978
55,prainha,-1.8,-53.48,306.54,44,45,1.73,BR,1667403980
56,norman wells,65.282,-126.8329,258.17,72,40,7.72,CA,1667403980
57,port alfred,-33.5906,26.891,294.36,80,36,14.06,ZA,1667403982
58,cidreira,-30.1811,-50.2056,290.99,48,1,4.44,BR,1667403982
59,tsabong,-26.0217,22.401,294.46,69,91,8.2,BW,1667403983
60,norwich,52.6278,1.2983,287.25,73,20,7.72,GB,1667403981
61,deputatskiy,69.3,139.9,253.59,94,99,1.16,RU,1667403983
62,yumen,40.2833,97.2,277.24,46,0,2.91,CN,1667403984
63,ribeira grande,38.5167,-28.7,293.58,88,40,4.92,PT,1667403985
64,hithadhoo,-0.6,73.0833,299.03,85,100,7.39,MV,1667403986
65,castro,-24.7911,-50.0119,283.85,82,100,4.46,BR,1667403987
66,kruisfontein,-34.0033,24.7314,296.97,76,100,7.01,ZA,1667403987
67,port macquarie,-31.4333,152.9167,282.53,66,0,3.03,AU,1667403974
